NAME,RA,DEC,S1400
054030-102255,85.127,-10.3821667,480.7
054033+071434,85.1412083,7.2430278,228.1
054037-015756,85.1550417,-1.9656389,144.8
054039-100744,85.1655417,-10.1289444,109.6
054049-070526,85.204625,-7.0907778,105.2
054058-041528,85.242625,-4.258,513.9
054115-133335,85.3155417,-13.5599444,131.7
054116-023859,85.319375,-2.6498889,303.1
054118+050900,85.327875,5.1500833,357.3
054119-173717,85.329875,-17.6216389,149.6
054120-052417,85.335125,-5.4049167,161.6
054120-023451,85.33575,-2.5810556,177.2
054127-020230,85.3635,-2.0418333,114.4
054135-045658,85.397625,-4.9494722,117.5
054138-054149,85.40875,-5.6971944,860.4
054138-015244,85.4099583,-1.8790278,5250.4
054139-015449,85.415,-1.9136111,17083.2
054141-100344,85.4230833,-10.06225,131.8
054141-121003,85.4246667,-12.16775,649.3
054142-122158,85.4290833,-12.3663611,120.2
054145-022411,85.440625,-2.4032222,116.0
054146-015507,85.4424167,-1.9186111,8653.8
054147-015200,85.4464583,-1.8669167,1471.1
054147-015419,85.447625,-1.9053333,15108.7
054158+040929,85.4916667,4.1582778,386.0
054158-135935,85.4924583,-13.9930833,115.8
054159-092229,85.4959583,-9.3749167,139.0
054159-021503,85.4969167,-2.2509722,134.4
054202-014128,85.5101667,-1.6913056,101.4
054202+015844,85.5109167,1.9789722,139.2
054208+094927,85.53575,9.8242222,152.3
054209-014048,85.538125,-1.6801667,146.1
054209-021340,85.5415833,-2.2280278,130.2
054210-020336,85.5448333,-2.0601944,136.9
054217-020142,85.5735417,-2.0285833,138.2
054220+062054,85.5865417,6.3485278,156.6
054221-020455,85.590375,-2.0819722,171.4
054221-021243,85.5914167,-2.2120833,139.2
054226-015921,85.6084167,-1.9893889,102.5
054232+041808,85.63725,4.30225,126.9
054239-045345,85.663,-4.8960556,517.4
054240+074901,85.6688333,7.8170833,100.6
054243-015235,85.6804583,-1.8764167,136.2
054251+012718,85.7140417,1.4551667,204.4
054253-015408,85.721125,-1.90225,127.1
054253-015110,85.721625,-1.8529444,165.2
054255-091330,85.7327083,-9.2250833,271.7
054256-123223,85.734625,-12.5398333,277.9
054300+052040,85.7535417,5.3446667,233.0
054320-050235,85.8370833,-5.0431389,118.5
054333+084533,85.8915417,8.7594167,150.7
054334-152619,85.894875,-15.4388333,122.1
054338-025711,85.90975,-2.9531111,119.1
054341+095822,85.921125,9.9728611,138.2
054347-144416,85.9465833,-14.7378889,137.9
054347-131524,85.9497083,-13.2569167,109.2
054351-042544,85.965,-4.4289722,147.5
054355+000907,85.982125,0.1521111,189.3
054407-004105,86.03325,-0.6848333,177.9
054409-091739,86.0379167,-9.2943056,972.2
054420+054706,86.0863333,5.7850278,235.0
054447-023504,86.1968333,-2.5845833,299.2
054454-122753,86.229,-12.4649722,116.1
054458-100054,86.24375,-10.0151111,104.7
054458-143316,86.2440417,-14.5546389,339.6
054508-063502,86.2857917,-6.584,241.6
054509-095437,86.2907083,-9.9103889,152.3
054513-052931,86.3064583,-5.4920833,105.0
054517-105145,86.3243333,-10.8625833,528.8
054523-053936,86.34725,-5.6600556,188.3
054525-115555,86.3549583,-11.9319444,100.1
054528-184847,86.3672917,-18.8132778,230.2
054532-170239,86.3862083,-17.0443056,119.8
054537-063651,86.40525,-6.6143611,367.8
054540-173659,86.4201667,-17.6165833,300.7
054545-112432,86.44125,-11.409,184.2
054548-181623,86.4515,-18.2731111,143.5
054601+001422,86.5055,0.2396667,100.7
054617-172552,86.5736667,-17.4311667,1045.4
054618-032935,86.57525,-3.4931667,109.1
054619-010040,86.5794167,-1.0113333,217.9
054637-185250,86.656875,-18.8808056,189.4
054645-073250,86.6884583,-7.5474167,176.6
054645+012221,86.691375,1.3725,314.5
054648-125158,86.7012083,-12.8662778,385.5
054648+024954,86.7017083,2.8317778,129.5
054659-115839,86.746125,-11.97775,122.3
054702-195443,86.760125,-19.912,435.6
054721+010917,86.8384583,1.1548056,110.9
054726-041752,86.861125,-4.2978056,297.3
054727-180101,86.8645833,-18.0171944,112.7
054727-070634,86.864875,-7.1096944,354.2
054729-085754,86.87475,-8.9652222,335.5
054734+013205,86.8933333,1.5348611,156.7
054741-112941,86.9246667,-11.4947222,141.9
054743-003452,86.92975,-0.5811667,102.3
054744+084938,86.9374167,8.8272778,292.4
054755-195807,86.9791667,-19.96875,863.1
054801-061242,87.0071667,-6.2117778,772.7
054805-072652,87.0217917,-7.4478056,118.4
054812-034000,87.0515,-3.6667222,107.8
054818-064546,87.0782083,-6.7629444,270.2
054823-065013,87.09625,-6.8369722,227.1
054828-103328,87.117875,-10.558,196.4
054832-090954,87.1355,-9.165,153.6
054838+011251,87.1604167,1.21425,236.0
054843-080244,87.1819167,-8.0456389,217.9
054847+020138,87.1998333,2.0273611,337.8
054851-091315,87.213375,-9.2209167,121.0
054853+074219,87.2219167,7.7053056,125.0
054901+000217,87.2571667,0.0381944,109.9
054902+013625,87.261875,1.6069444,157.5
054907-184557,87.2797917,-18.7658611,218.7
054907-190635,87.2814583,-19.1099167,110.0
054918-072156,87.3277083,-7.3655556,137.0
054924+002609,87.3522083,0.4360556,176.5
054926-143833,87.3597917,-14.6427222,181.2
054929+075202,87.371,7.8672222,176.6
054929+062625,87.3745833,6.4403889,145.7
054936+083242,87.40325,8.5450278,195.7
054940+053953,87.417375,5.6649444,207.8
054942+084250,87.4287083,8.714,141.7
054947-092248,87.449125,-9.38,140.7
054958-153623,87.4955,-15.6065,134.3
055007+002731,87.5305417,0.45875,208.7
055021+014620,87.5907917,1.7723889,133.6
055026-062624,87.6084167,-6.4401389,367.0
055027-013007,87.6134583,-1.5019444,147.8
055035+092926,87.647,9.4906667,121.8
055046-194014,87.6925,-19.6708056,178.7
055101-174902,87.7571667,-17.8174167,297.6
055103+084243,87.762625,8.7121667,101.9
055107+032022,87.7809583,3.3395278,110.7
055107-090029,87.782375,-9.0081944,104.9
055111+082915,87.7965,8.4876667,251.9
055112-150002,87.8009583,-15.0006389,389.8
055114+063052,87.8096667,6.5146389,109.4
055117-090705,87.82275,-9.1181111,170.8
055119-040321,87.8306667,-4.0558889,198.0
055120-090002,87.8335833,-9.0007222,104.7
055131-152837,87.8825417,-15.4769444,138.0
055131-102341,87.8832083,-10.3949444,623.9
055132+002218,87.8834583,0.3718889,373.9
055133-102250,87.8908333,-10.38075,476.6
055136+061410,87.902875,6.2363611,115.7
055136-184548,87.9035417,-18.7633889,233.7
055136+012457,87.904,1.4158333,125.3
055141+032908,87.921,3.4856944,182.8
055148-065417,87.95175,-6.9049722,107.5
055156-194320,87.987375,-19.7223611,137.2
055200-170756,88.0024167,-17.1322222,102.4
055201-121305,88.0067083,-12.2181111,164.1
055201-123437,88.0079167,-12.5771389,125.1
055204-120632,88.017875,-12.1090556,236.8
055211-072722,88.04725,-7.4562778,298.8
055212-060549,88.0530417,-6.0969444,359.9
055214-043327,88.0594167,-4.5577222,261.0
055223-050708,88.098375,-5.1191111,134.4
055226+081700,88.1089583,8.2834722,145.5
055226-133451,88.1090417,-13.5808333,251.8
055231+033952,88.1291667,3.6645833,101.5
055234+004531,88.145,0.7586389,113.5
055237-032426,88.156875,-3.4072222,107.0
055242+003711,88.17675,0.6199722,186.1
055243+083223,88.18175,8.5398611,203.6
055248-115223,88.201875,-11.87325,134.0
055248-132254,88.204,-13.3819167,454.8
055250+031326,88.2085417,3.2238889,664.0
055256+044725,88.234,4.7903889,229.0
055306+004557,88.2787083,0.766,111.6
055308-093740,88.2855833,-9.6278611,107.4
055312-170335,88.3037083,-17.0599722,185.0
055313+045549,88.307375,4.9304722,107.2
055315-185550,88.3145,-18.9306389,179.4
055319-073040,88.3332083,-7.5111111,509.4
055329-014639,88.3721667,-1.7776667,455.7
055329-014239,88.3737083,-1.7110278,107.7
055333+095255,88.3885,9.8821944,154.3
055336-143415,88.4025,-14.5708889,104.9
055341-084003,88.424625,-8.6675833,273.8
055344-170813,88.4365833,-17.1371667,120.9
055351-171012,88.4650833,-17.1700556,702.5
055403-005443,88.5129167,-0.9121667,111.6
055406-180638,88.5285417,-18.1107778,223.9
055413+003807,88.5578333,0.6353056,155.3
055442+032942,88.6766667,3.495,349.8
055442+001216,88.6772917,0.2046667,209.5
055455-183613,88.73,-18.6036389,159.5
055507+090157,88.77975,9.0327222,101.4
055507-173848,88.7824583,-17.64675,118.9
055527+082319,88.8655833,8.3886389,101.8
055529+063254,88.87475,6.5485278,549.6
055531-020401,88.87975,-2.0669444,405.3
055531-052721,88.88,-5.4560278,113.0
055532-100206,88.8846667,-10.03525,135.1
055539-010129,88.9154583,-1.0249722,291.4
055547-131831,88.9495833,-13.3088333,459.1
055550-014732,88.9602917,-1.7922778,138.6
055634-082731,89.143625,-8.4586944,101.5
055652+052013,89.216875,5.3371944,139.7
055652+050937,89.219125,5.1603611,107.3
055652-024105,89.2193333,-2.6847222,717.7
055708-135408,89.2862083,-13.9023611,101.3
055709-074536,89.2900417,-7.76,213.7
055713-050637,89.3066667,-5.1104167,155.2
055715+015313,89.3165,1.8871944,177.3
055723-012132,89.3495833,-1.3589167,130.1
055729+021726,89.373,2.2906944,112.0
055732+084444,89.3842083,8.7457778,282.6
055737-013948,89.4061667,-1.6635,414.9
055741-015428,89.424125,-1.9078611,226.7
055742-063801,89.4277083,-6.6336944,214.5
055747+080809,89.4492083,8.1358333,125.4
055748+012107,89.4515833,1.3520556,122.4
055753-173750,89.472125,-17.6306389,217.0
055754-123816,89.47525,-12.6378056,127.5
055756+090049,89.4842083,9.0138333,298.8
055802-131740,89.5105417,-13.2946111,946.8
055803+043158,89.515375,4.5329722,119.0
055805-174333,89.5239167,-17.7259167,168.3
055808-150207,89.5347917,-15.0355278,177.9
055808+004447,89.5349583,0.7466389,169.1
055821-182151,89.5912917,-18.3644167,198.8
055823-185218,89.596,-18.8718333,106.4
055833-100742,89.6396667,-10.1285556,232.2
055845-105719,89.689125,-10.9553889,128.5
055850-104516,89.7099167,-10.7546944,199.7
055857+012836,89.7394583,1.4768889,171.9
055915-061545,89.81275,-6.2626389,234.2
055915-101634,89.812875,-10.2763333,116.4
055920-145504,89.8342917,-14.9179722,251.0
055926-080603,89.8591667,-8.1008611,179.5
055929-082306,89.871625,-8.3851667,259.8
055932-091420,89.8845833,-9.2390556,199.0
055940-165209,89.9177917,-16.8691667,569.3
055946-181747,89.943375,-18.2965278,182.9
055953+040309,89.971875,4.05275,172.3
055953-000207,89.974,-0.0355278,139.3
060000-170935,90.003,-17.1599722,177.0
060002-151150,90.0086667,-15.19725,153.2
060003+004702,90.0134167,0.7839167,152.9
060003-000559,90.014625,-0.0998333,135.5
060010-154002,90.0427083,-15.66725,164.1
060011+083117,90.0461667,8.5214167,119.6
060012-071037,90.0538333,-7.1771944,224.9
060013-155525,90.058125,-15.9238611,119.7
060018-155515,90.0775833,-15.9208889,159.7
060026-165145,90.1101667,-16.8627222,227.4
060028+014148,90.119375,1.6969167,115.2
060035-024406,90.14725,-2.7351667,124.3
060040+000619,90.167,0.1053056,212.7
060106-144025,90.2775833,-14.67375,358.6
060108-062455,90.285375,-6.4154722,300.7
060115+030101,90.3146667,3.0171667,140.2
060118+055038,90.327,5.8440833,240.5
060125+051303,90.3542917,5.2176389,423.8
060127+035013,90.3627083,3.8369722,465.0
060128+054547,90.369,5.7632222,245.0
060138+022801,90.4097917,2.4670278,311.5
060139+091546,90.4161667,9.2627778,112.9
060140+022712,90.4169167,2.4535,257.3
060142-191500,90.427625,-19.25025,339.5
060149-192507,90.4544167,-19.4186944,103.2
060151-112147,90.4641667,-11.3631667,109.2
060152-093444,90.469625,-9.5789444,201.1
060157+004613,90.48775,0.7705278,108.3
060159+091854,90.496125,9.3150278,228.7
060208-124336,90.5362917,-12.7268056,134.1
060218+095059,90.5755,9.8497778,130.3
060230-190218,90.6271667,-19.0384167,336.0
060237-135751,90.657,-13.9642222,154.6
060241-150441,90.671,-15.0781667,153.7
060242-000426,90.679,-0.0741389,140.3
060243-111403,90.680375,-11.2342778,167.8
060248-052032,90.7005,-5.3423333,175.9
060256+012007,90.7365833,1.3354167,100.4
060308-131009,90.7842083,-13.1692222,1334.6
060314+005049,90.8092083,0.847,262.3
060314+025048,90.809875,2.8468889,165.6
060314+062229,90.8102083,6.3748333,216.3
060317-061015,90.823125,-6.1708889,177.3
060338-064543,90.9084583,-6.7620278,188.8
060356-100222,90.983625,-10.0395833,129.4
060356-141223,90.9867917,-14.2065,159.4
060357-171627,90.990625,-17.27425,317.7
060408-102804,91.0369167,-10.4678056,121.5
060415+011729,91.0635417,1.2915833,399.9
060420-135321,91.0840833,-13.8892778,299.4
060430-131751,91.1255,-13.29775,162.9
060432+075623,91.134625,7.9397778,110.5
060433+020457,91.137625,2.0827222,249.8
060443-005449,91.1817917,-0.9138333,183.3
060445-012117,91.188375,-1.3548889,172.6
060448-191843,91.2011667,-19.3121389,110.1
060449+055737,91.2075833,5.9604444,101.2
060453-193156,91.223875,-19.5324722,125.8
060501-180126,91.2544583,-18.0238889,115.8
060502-180013,91.2614583,-18.0036389,132.0
060509-075747,91.2887083,-7.96325,189.1
060510+093913,91.2920417,9.6538611,364.6
060520-014759,91.337,-1.7997222,112.2
060525-115140,91.3565833,-11.8611111,129.6
060526-075928,91.359875,-7.9913333,239.6
060526-071633,91.3615,-7.2759722,191.3
060529+071515,91.3724583,7.2543333,106.7
060530+015322,91.3750833,1.8895556,149.5
060530-060953,91.3780833,-6.16475,134.9
060536-010707,91.4019583,-1.1186667,159.4
060536+014512,91.4023333,1.7535278,608.4
060541+064532,91.421375,6.7589444,153.0
060543-184521,91.431,-18.7558611,432.7
060543+023948,91.432125,2.6635556,292.7
060544-173115,91.4338333,-17.521,375.2
060547+041937,91.4495,4.3270278,405.2
060557-175524,91.490375,-17.9233611,768.8
060558+084304,91.492375,8.7178333,426.5
060608-110528,91.5358333,-11.0912778,219.9
060609-111526,91.540375,-11.2574444,111.4
060627+041640,91.6132917,4.2778889,155.0
060643-072430,91.6815,-7.4084444,214.2
060646-165856,91.69225,-16.9823333,580.3
060655-041752,91.7301667,-4.2979722,170.5
060655-174711,91.731875,-17.7864167,322.6
060657-002457,91.739625,-0.4159722,133.9
060659+050659,91.7488333,5.1164722,138.5
060700-104136,91.7514167,-10.6933611,152.9
060701-025512,91.7580833,-2.9200833,103.7
060708-120454,91.7839583,-12.0819167,181.6
060713-172125,91.80475,-17.3569722,122.5
060713-145828,91.8065,-14.9744722,126.3
060716-155435,91.819375,-15.9098889,123.1
060716-061030,91.8200417,-6.1751389,143.7
060717+053822,91.8222917,5.6396667,144.3
060720-121900,91.8339583,-12.3168333,179.4
060744-183725,91.9340833,-18.6236389,101.3
060746-062303,91.9420833,-6.3841667,4110.2
060746-155110,91.9445417,-15.8528889,320.8
060754-133705,91.97875,-13.6182222,103.8
060756+060135,91.9867083,6.0264722,103.0
060758-142435,91.9927917,-14.4098889,225.0
060759-083450,91.9989167,-8.5806111,1905.1
060801-152036,92.0062917,-15.3435833,278.7
060803-073831,92.0153333,-7.6421667,376.6
060804-072732,92.0177917,-7.4591389,669.4
060813+084025,92.05425,8.6737222,302.9
060817+025835,92.0724583,2.9766389,198.5
060818-043619,92.0783333,-4.6055278,101.1
060824-023837,92.10025,-2.6436944,123.8
060827+092510,92.115125,9.4194722,196.8
060828-084353,92.1184167,-8.7315,142.0
060835+004512,92.1475417,0.7535833,146.4
060836-004752,92.15275,-0.7979444,382.0
060836-070002,92.1539167,-7.0006944,211.3
060838-195244,92.1599583,-19.879,173.8
060845-023625,92.1900417,-2.6070278,101.9
060845-125759,92.1914583,-12.9664167,120.5
060847+095449,92.1975833,9.9136667,580.2
060908-142626,92.2859583,-14.4406111,122.5
060909-143000,92.2892083,-14.5001111,106.2
060917-001803,92.3240417,-0.3010556,120.5
060919-142741,92.330875,-14.4616389,187.8
060925-162151,92.3544167,-16.3642778,133.9
060927-185335,92.3634167,-18.8931667,100.5
060931-153248,92.3798333,-15.5468333,163.7
060936+072914,92.400375,7.48725,109.6
060937+080237,92.40575,8.0437222,104.3
060941-154240,92.4208333,-15.71125,2742.4
060942+064008,92.4284167,6.669,106.3
060949-144808,92.4559583,-14.8022222,313.8
060953-094035,92.4725,-9.6765833,119.1
060958+021727,92.4955833,2.2908611,201.5
061001+070412,92.5075,7.0701111,212.0
061001-072504,92.5079583,-7.4179167,623.3
061004+075957,92.5168333,7.9993056,104.9
061005+055009,92.5225,5.8359444,172.2
061007-134242,92.530625,-13.71175,131.9
061009-055952,92.5399167,-5.9979444,130.7
061017-184739,92.5746667,-18.7943889,128.2
061018-180434,92.5778333,-18.0763056,223.3
061019-185753,92.5807083,-18.9648611,124.8
061022-143145,92.59575,-14.5294167,213.1
061026+091933,92.6104583,9.3260556,533.9
061026-004755,92.6109583,-0.7986111,336.7
061029+094407,92.623625,9.7355278,106.4
061031-140521,92.6291667,-14.0894167,108.1
061040-034435,92.6699583,-3.7432222,100.3
061040+091041,92.6707083,9.1780556,183.6
061044+003516,92.6851667,0.5877778,204.6
061047-032506,92.6979167,-3.4183611,199.2
061050-095934,92.71125,-9.9927778,123.6
061109-141523,92.7911667,-14.2565278,272.4
061116+041349,92.8184167,4.2304167,165.5
061119-035003,92.83275,-3.8343056,104.5
061120-192231,92.833875,-19.3754444,115.4
061123+010256,92.8460833,1.0490833,140.9
061124+022940,92.852375,2.4946944,368.2
061135-115546,92.8961667,-11.9295278,241.0
061143-171104,92.932875,-17.1845,135.1
061148+042047,92.9503333,4.3464722,110.3
061150-052450,92.9616667,-5.4141389,130.7
061158-080011,92.993125,-8.0030833,126.0
061207-094310,93.0320833,-9.7194444,120.6
061212+054134,93.0534583,5.693,108.3
061218-160546,93.0785,-16.0962778,227.8
061220-085510,93.0861667,-8.9194444,362.3
061225+072843,93.1076667,7.4786111,106.7
061229-190215,93.1230417,-19.0376111,168.8
061240+041113,93.1698333,4.1871667,217.6
061244+051854,93.1854167,5.3150278,159.1
061256-095134,93.2368333,-9.8595,134.6
061258+074625,93.2456667,7.7738056,193.9
061304-180907,93.2681667,-18.1521944,231.1
061307-105430,93.2822083,-10.9083611,276.8
061309+083031,93.2914583,8.5087222,101.0
061315-032552,93.3125833,-3.4312778,110.4
061335-000833,93.3995,-0.1426111,547.3
061339-095535,93.4143333,-9.9264167,130.2
061340-065534,93.4171667,-6.9262778,217.7
061342-061506,93.426875,-6.2516944,195.3
061409-104630,93.5397083,-10.7751111,121.3
061417+002650,93.571625,0.4474444,164.5
061423-154923,93.597875,-15.8231111,114.0
061440+051210,93.6705833,5.2029722,124.3
061443-111735,93.68325,-11.2930833,145.9
061445-103803,93.6889583,-10.6342778,186.5
061447-121207,93.6965,-12.2019444,104.3
061458+014426,93.7429167,1.7406944,151.4
061501-185554,93.7564583,-18.9316667,235.2
061505-033021,93.7713333,-3.5060278,240.6
061506-150303,93.7773333,-15.0509167,273.7
061509+092833,93.7884583,9.4760278,166.7
061509-041121,93.7914583,-4.1893889,158.5
061511-033307,93.798875,-3.5521111,472.9
061512-041242,93.801375,-4.21175,123.7
061521+072125,93.8405833,7.357,103.9
061525-135617,93.8557083,-13.93825,263.7
061531-194115,93.8826667,-19.6875556,153.8
061535-093428,93.89775,-9.5745833,107.2
061544+054720,93.933625,5.7891389,143.5
061547-064448,93.9481667,-6.7466944,142.5
061600-044839,94.0010417,-4.8108889,135.0
061601+011549,94.0041667,1.2636389,102.5
061601-195716,94.0065417,-19.9545,595.2
061607-030648,94.0330833,-3.1135,242.2
061611+073607,94.0472917,7.6020278,222.3
061613+011141,94.0579167,1.1949444,108.1
061614+073404,94.0585,7.5678333,176.6
061614-101701,94.0595,-10.28375,112.1
061618+062623,94.078375,6.4398611,136.7
061622+073124,94.0934583,7.5235833,148.1
061627-034416,94.1155833,-3.7378889,158.6
061631-052531,94.12975,-5.4252778,145.6
061637-142048,94.15725,-14.3467222,991.4
061641-062107,94.1739167,-6.3521111,140.8
061641-104108,94.1742083,-10.6855556,114.3
061645-153729,94.190375,-15.6249167,100.2
061658-171703,94.2457083,-17.2841667,194.6
061703-082225,94.2637083,-8.3738333,179.3
061707-151802,94.28075,-15.3006389,559.4
061707+002842,94.2822083,0.4784167,204.5
061719-020027,94.3305417,-2.0076944,130.2
061727-171459,94.36425,-17.2498889,240.9
061729-113429,94.37125,-11.5748611,565.8
061731-162528,94.3825417,-16.4245556,404.3
061733-171522,94.3903333,-17.2561389,363.6
061735-171326,94.3970833,-17.2241389,101.4
061737-022855,94.4072083,-2.4821667,112.1
061750-051507,94.4596667,-5.2521944,247.6
061801-014313,94.5043333,-1.7204444,102.5
061802-002857,94.5122917,-0.4825833,115.2
061803+003458,94.5134583,0.5828611,169.3
061803+003326,94.5135,0.5574167,152.3
061808-163232,94.5344167,-16.5423889,107.0
061809-110623,94.5415833,-11.1066389,514.0
061811+073110,94.5476667,7.5196111,104.0
061819-022644,94.5820833,-2.4457778,268.7
061822-192141,94.593875,-19.3616111,120.5
061831-133038,94.6327083,-13.5105556,670.6
061834-150041,94.6429583,-15.0115278,107.3
061839-022704,94.6637083,-2.4513333,193.0
061845+000406,94.691125,0.0685556,129.5
061847-071915,94.6995,-7.321,135.0
061849-164956,94.70675,-16.8323333,101.1
061900+050630,94.750875,5.1085556,686.1
061903+030941,94.7642917,3.1615556,120.9
061904-114054,94.7670417,-11.6818056,508.0
061904-012101,94.769875,-1.3503056,121.1
061907-073116,94.7798333,-7.5211111,110.5
061910+073642,94.7916667,7.6116667,249.1
061920-121924,94.8339167,-12.3233333,238.5
061925-055546,94.8548333,-5.9296944,107.0
061937-153649,94.9077083,-15.6137778,359.7
061940-003751,94.9198333,-0.6310556,199.3
061943+034701,94.929625,3.7836111,106.8
061951-021626,94.96525,-2.2739722,131.4
061952-154717,94.970375,-15.7880556,102.2
061954-001934,94.9787917,-0.3263333,134.3
061956-165413,94.9845,-16.9038611,142.5
061957+020818,94.988625,2.1384167,285.1
062005-172836,95.0211667,-17.4768333,177.4
062009-051112,95.0385,-5.1867778,129.3
062010+051113,95.04275,5.1871667,110.0
062027-103621,95.1147917,-10.6059722,336.8
062034-035840,95.1447917,-3.9779444,365.4
062037+093954,95.155375,9.6651389,266.2
062042-063824,95.1785,-6.6401944,135.0
062056-082941,95.235,-8.49475,183.7
062101-171553,95.255875,-17.2648611,686.2
062102+085855,95.2592083,8.9821667,172.1
062110-060954,95.29325,-6.165,170.9
062111-161719,95.2988333,-16.2886667,428.7
062123-191012,95.3472083,-19.1702222,140.4
062127-161630,95.365125,-16.2750833,124.1
062130+064948,95.375,6.8301944,158.5
062131-131737,95.3817083,-13.2936667,420.7
062135+015424,95.3983333,1.9068056,254.8
062137+052919,95.4071667,5.4886667,504.7
062138+080322,95.412,8.0561667,134.1
062142-125913,95.4284167,-12.9871944,180.0
062144-134134,95.436375,-13.6927778,106.5
062144-140253,95.4370417,-14.0483056,251.7
062147+014740,95.4479583,1.7946667,335.9
062152+043834,95.4704167,4.6429167,1056.8
062157-080843,95.4912083,-8.1454167,223.4
062207+023838,95.529375,2.6441111,103.4
062207-160056,95.5313333,-16.01575,170.8
062211-155919,95.5460833,-15.9888056,101.5
062211+014305,95.5499583,1.7181111,120.3
062212+014042,95.5527917,1.6783611,108.1
062213-155809,95.5559167,-15.9693333,141.0
062224-120205,95.6000417,-12.0348333,114.1
062225-005046,95.6045,-0.8461667,103.3
062228-192719,95.619125,-19.4552778,132.5
062235+025205,95.6497917,2.8680833,118.0
062239+005836,95.66275,0.9769167,143.8
062242-023235,95.676,-2.5433056,863.3
062244-072334,95.6870833,-7.3929444,106.0
062257-010927,95.7414167,-1.1575556,240.4
062306+081155,95.775875,8.19875,244.3
062307-170818,95.7797917,-17.1383889,490.8
062311-001315,95.7995,-0.2208889,107.1
062314-001215,95.8105833,-0.20425,170.9
062322-132301,95.8446667,-13.38375,572.0
062330+071122,95.8787083,7.1896111,122.4
062331-152439,95.8813333,-15.4110833,125.8
062343-045828,95.9315,-4.9744722,245.8
062349-160443,95.9564583,-16.0788056,121.0
062400-170109,96.0005833,-17.0193611,187.8
062401-010329,96.0070833,-1.0581389,158.5
062407+034005,96.0313333,3.6682222,124.1
062410-033615,96.0427917,-3.6042778,195.3
062415-072104,96.063125,-7.3513056,234.9
062418+045701,96.0785,4.9505278,421.4
062429-082629,96.1243333,-8.4414722,198.2
062430+084307,96.1283333,8.7188056,483.4
062431-110738,96.1315833,-11.1274722,660.8
062433-035956,96.141,-3.9990278,124.3
062436-033146,96.15075,-3.5295556,161.8
062436-160050,96.1522083,-16.0140833,120.9
062437-060703,96.155625,-6.1175556,451.6
062438-043741,96.16,-4.6281667,113.8
062444-115551,96.1851667,-11.9308611,234.4
062449-045359,96.2072083,-4.8998333,173.4
062455-073536,96.2305417,-7.5935278,109.6
062506-133642,96.2774583,-13.61175,101.8
062511-103329,96.2965833,-10.5581944,153.0
062517-154140,96.3212917,-15.6945278,162.0
062518-090436,96.3262083,-9.0768611,217.6
062520+080707,96.3364583,8.11875,108.2
062529-070336,96.373625,-7.06,129.1
062531+043604,96.381,4.6011389,198.2
062534+095858,96.3927083,9.9829444,108.5
062542-101749,96.4281667,-10.2970278,506.1
062544-021120,96.4335417,-2.1891111,274.4
062546+002159,96.4445,0.3666389,101.0
062549-113324,96.455625,-11.5567778,630.6
062551+043540,96.4662083,4.5945,812.6
062552-111215,96.4705833,-11.2041667,344.7
062558-042524,96.492625,-4.4235556,231.6
062600-075944,96.50325,-7.9958056,133.9
062604-123555,96.5170833,-12.5986667,113.5
062604-075959,96.5205417,-7.9999722,143.5
062612+000334,96.5536667,0.0596111,116.2
062620-142330,96.5862083,-14.3918889,440.5
062621+033800,96.591625,3.6334444,251.6
062622+001544,96.5923333,0.2623889,195.3
062627-164035,96.6139583,-16.6764722,1043.5
062628+023151,96.6168333,2.5308889,483.0
062630-104143,96.6289167,-10.6953056,180.4
062633-151235,96.639375,-15.2098611,175.9
062648-151616,96.7006667,-15.2712222,129.9
062648+043721,96.70325,4.6226667,123.9
062652-005737,96.7187083,-0.9605,129.5
062655-011831,96.7294167,-1.3088056,220.6
062657-043538,96.7406667,-4.5940833,142.4
062700-004809,96.7529167,-0.8025556,130.5
062708-055402,96.7835417,-5.9005556,699.1
062710-055306,96.7919167,-5.8850278,18486.1
062718-064745,96.8270833,-6.7960278,544.9
062721+054537,96.837875,5.7605,233.4
062731-115312,96.88325,-11.8867222,290.2
062736-141705,96.9000417,-14.2848611,162.3
062736-070358,96.9006667,-7.0661111,109.1
062736+063252,96.9030417,6.5478056,153.2
062737+042229,96.9074583,4.3749167,100.1
062738+032459,96.9096667,3.4165556,264.0
062739-123916,96.913375,-12.6544444,107.4
062745-040757,96.938125,-4.1327222,195.8
062747-185502,96.9495,-18.9172778,127.5
062748-111300,96.9528333,-11.2168611,155.9
062812+010926,97.0522917,1.1572222,938.6
062818-034822,97.07775,-3.8063333,110.9
062824-021913,97.1018333,-2.3203611,198.4
062830-121140,97.1271667,-12.1946111,141.3
062834+000557,97.1422917,0.0993889,237.1
062834-053642,97.1423333,-5.6117778,236.1
062835-083019,97.1490417,-8.5054167,104.6
062842-083334,97.1767083,-8.5596944,116.2
062847-181536,97.1975,-18.26025,218.2
062847-184155,97.198875,-18.6988056,118.7
062900-100616,97.2507083,-10.1044444,122.6
062902+002907,97.2606667,0.4853056,388.7
062906+074332,97.2779583,7.7256944,479.6
062908-083848,97.284875,-8.6468333,243.9
062909-140450,97.288875,-14.0807778,128.6
062912-020902,97.303125,-2.1506389,297.1
062915-152725,97.3154167,-15.4569722,106.8
062915-041527,97.3164583,-4.2575,128.2
062920-002259,97.33375,-0.3832222,134.0
062923-195919,97.3490833,-19.9887778,676.6
062944-105938,97.43675,-10.9938889,152.5
